market_id,market_name,city,state,zip,day,open_time,close_time,accepts_snap,products,latitude,longitude,contact_name,phone,website
FM-0001,Springfield Park Farmers Market,Springfield,IL,71345,Thursday,07:45,17:45,False,"coffee, dairy, jams, meat, organic, seafood",39.797173,-89.698918,Casey Lee,(949) 973-2612,https://www.springfield-farmersmarket1.org
FM-0002,Bend Valley Farmers Market,Bend,OR,68715,Wednesday,10:15,18:30,True,"coffee, eggs, flowers, fruits, gluten-free, jams, prepared foods",44.042451,-121.360993,Jordan Smith,(984) 400-9338,https://www.bend-farmersmarket2.org
FM-0003,San Diego Community Farmers Market,San Diego,CA,46355,Saturday,08:15,15:30,False,"eggs, flowers, honey, prepared foods",32.712172,-117.17905,Avery Ramirez,(805) 860-4264,https://www.sandiego-farmersmarket3.org
FM-0004,Boston River Farmers Market,Boston,MA,83225,Thursday,07:30,16:30,False,"dairy, gluten-free, honey, meat",42.356758,-71.039956,Alex Lopez,(687) 663-4613,https://www.boston-farmersmarket4.org
FM-0005,Eugene Downtown Farmers Market,Eugene,OR,52955,Sunday,07:15,14:15,True,"dairy, eggs, flowers, honey, seafood",44.085989,-123.089117,Taylor Smith,(755) 898-6830,https://www.eugene-farmersmarket5.org
FM-0006,Austin Harbor Farmers Market,Austin,TX,14407,Tuesday,08:45,14:30,True,"flowers, gluten-free, organic",30.288459,-97.699221,Riley Brown,(458) 315-9783,https://www.austin-farmersmarket6.org
FM-0007,Portland Community Farmers Market,Portland,OR,42657,Friday,07:15,18:00,True,"baked goods, eggs, flowers, fruits, gluten-free, vegetables",45.49955,-122.71862,Cameron Martinez,(248) 386-1697,https://www.portland-farmersmarket7.org
FM-0008,Seattle Community Farmers Market,Seattle,WA,88885,Friday,10:45,17:15,False,"flowers, honey, meat, organic, seafood",47.625816,-122.359938,Morgan Martinez,(400) 357-9829,https://www.seattle-farmersmarket8.org
FM-0009,Peoria Community Farmers Market,Peoria,IL,28425,Thursday,08:30,16:30,False,"dairy, eggs, flowers, fruits, gluten-free, jams, meat",40.733573,-89.552751,Jamie Johnson,(457) 936-8476,https://www.peoria-farmersmarket9.org
FM-0010,Rochester Downtown Farmers Market,Rochester,NY,77309,Saturday,08:00,14:30,True,"coffee, fruits, meat, organic",43.154404,-77.569223,Drew Patel,(272) 865-5698,https://www.rochester-farmersmarket10.org
